,step_660,epoch_1,epoch_2,step_1045,step_440,epoch_7,step_385,step_825,step_275,step_605,epoch_3,epoch_5,step_935,epoch_6,epoch_4,epoch_0,step_770,step_715,step_550,step_495,step_165,step_220,step_990,step_55,step_110,epoch_9,step_880,step_330,epoch_8
AskUbuntuDupQuestions,0.607,0.609971,0.609169,0.607339,0.607559,0.608732,0.611201,0.608854,0.610894,0.608693,0.609292,0.608733,0.607615,0.605931,0.608558,0.612935,0.608576,0.608477,0.608639,0.609105,0.611441,0.609979,0.606673,0.611702,0.612635,0.607324,0.609604,0.609714,0.606262
BiorxivClusteringP2P.v2,0.382848,0.399606,0.394217,0.388355,0.386838,0.380448,0.392247,0.385259,0.395128,0.387476,0.392387,0.383796,0.388195,0.381997,0.392988,0.406341,0.389883,0.386849,0.387707,0.384639,0.393962,0.391759,0.383982,0.406703,0.401393,0.384106,0.383082,0.387278,0.381845
Touche2020Retrieval.v3,0.52037,0.57416,0.54291,0.51293,0.5352,0.51797,0.53923,0.52065,0.55955,0.52891,0.53715,0.52862,0.51555,0.52259,0.53289,0.62214,0.51925,0.52197,0.52954,0.53145,0.60298,0.57257,0.51582,0.65238,0.61787,0.51418,0.51644,0.54078,0.51628
TRECCOVID,0.66993,0.72895,0.71395,0.66203,0.69276,0.66779,0.69938,0.66049,0.71711,0.68007,0.69433,0.67485,0.66276,0.66528,0.68271,0.76014,0.66453,0.66708,0.67805,0.68914,0.74,0.72614,0.66589,0.80387,0.75443,0.66513,0.66624,0.70056,0.6656
SummEvalSummarization.v2,0.318026,0.323251,0.324911,0.3161,0.322054,0.31549,0.32405,0.316708,0.325701,0.316673,0.321372,0.318724,0.315247,0.317946,0.317123,0.328086,0.319678,0.316893,0.315881,0.316068,0.324833,0.322105,0.315121,0.328546,0.330511,0.315892,0.316434,0.323865,0.315182
StackExchangeClustering.v2,0.55318,0.56875,0.561518,0.552787,0.556952,0.553506,0.561328,0.554867,0.560246,0.554058,0.562332,0.557159,0.558183,0.555862,0.558648,0.575757,0.554742,0.553216,0.555064,0.563871,0.564447,0.565578,0.560068,0.584931,0.567611,0.557911,0.55619,0.564626,0.554229
TwitterSemEval2015,0.761033,0.762183,0.762254,0.760631,0.76184,0.760707,0.762312,0.760931,0.762595,0.761286,0.761848,0.761137,0.760753,0.760988,0.761374,0.761245,0.760855,0.760967,0.761569,0.761723,0.762141,0.762236,0.760655,0.758603,0.761153,0.760652,0.760702,0.762437,0.760738
STS13,0.830336,0.83466,0.832559,0.829339,0.830933,0.82979,0.831311,0.82961,0.83313,0.829985,0.831128,0.830447,0.829678,0.829945,0.830487,0.842421,0.829735,0.830353,0.830004,0.830722,0.837517,0.834114,0.829516,0.851313,0.841582,0.829445,0.829615,0.83211,0.829727
Banking77Classification,0.843636,0.844935,0.844286,0.843409,0.843864,0.843896,0.843831,0.843279,0.844545,0.844123,0.843539,0.843604,0.843182,0.843734,0.843636,0.846136,0.843377,0.843636,0.843539,0.844253,0.845292,0.84461,0.843377,0.846591,0.845292,0.843409,0.843409,0.843831,0.843669
STS15,0.861812,0.866652,0.86492,0.860861,0.863364,0.861058,0.863967,0.861087,0.865733,0.862221,0.863539,0.86201,0.860911,0.861493,0.862872,0.870549,0.86129,0.861678,0.862528,0.863112,0.868359,0.866482,0.860873,0.873697,0.870358,0.860824,0.860985,0.864632,0.860913
StackExchangeClusteringP2P.v2,0.375039,0.379819,0.379915,0.377046,0.377098,0.378838,0.3772,0.37524,0.378309,0.378406,0.375946,0.378342,0.377633,0.374171,0.376603,0.381938,0.377441,0.381202,0.3796,0.375296,0.377885,0.381613,0.375424,0.391385,0.380075,0.377228,0.378782,0.37783,0.37826
ArguAna,0.51823,0.52045,0.51948,0.51842,0.52009,0.51866,0.51857,0.51759,0.51776,0.51801,0.5191,0.51727,0.51853,0.51939,0.51835,0.52518,0.51808,0.51948,0.51823,0.51838,0.52438,0.52147,0.51867,0.5103,0.52434,0.51829,0.51884,0.52,0.5185
TweetSentimentExtractionClassification,0.613441,0.614488,0.613299,0.613752,0.613413,0.613639,0.61378,0.613809,0.612507,0.614205,0.613384,0.614148,0.61296,0.613582,0.61412,0.614714,0.613328,0.614233,0.614403,0.613894,0.614629,0.61429,0.613016,0.614771,0.614629,0.613299,0.613328,0.614007,0.613497
AmazonCounterfactualClassification,0.782537,0.778955,0.780896,0.783582,0.783134,0.783433,0.78194,0.783134,0.781194,0.783433,0.783582,0.781791,0.783433,0.782537,0.78209,0.775821,0.782985,0.782687,0.783284,0.782687,0.777463,0.779552,0.782836,0.76806,0.774925,0.782239,0.783881,0.782239,0.782985
ArXivHierarchicalClusteringS2S,0.539121,0.542387,0.534756,0.542435,0.536782,0.536085,0.537867,0.53982,0.540851,0.538393,0.538304,0.541234,0.538022,0.549907,0.5501,0.546979,0.545687,0.537843,0.538587,0.541666,0.544451,0.547531,0.54524,0.553271,0.545566,0.535535,0.538764,0.538411,0.535472
ArXivHierarchicalClusteringP2P,0.578385,0.574192,0.572261,0.571633,0.574291,0.577547,0.57074,0.569387,0.562279,0.565464,0.575425,0.570803,0.570486,0.572859,0.578588,0.581479,0.579654,0.57509,0.579093,0.573336,0.578347,0.584068,0.571455,0.579628,0.577091,0.572859,0.579041,0.579625,0.573269
MTOPDomainClassification,0.936069,0.936297,0.93632,0.93632,0.936389,0.936525,0.936252,0.936503,0.936138,0.936161,0.93632,0.936297,0.936343,0.93632,0.936366,0.936434,0.936389,0.936411,0.936503,0.936366,0.936183,0.936389,0.936366,0.935157,0.936411,0.936389,0.936161,0.936161,0.93632
FiQA2018,0.35355,0.36115,0.35813,0.34969,0.35626,0.34922,0.36022,0.35001,0.35831,0.3542,0.35737,0.3553,0.34931,0.35192,0.3552,0.37399,0.35069,0.35271,0.35418,0.35661,0.36719,0.36165,0.34956,0.38368,0.37124,0.3501,0.35043,0.35903,0.35047
SprintDuplicateQuestions,0.925543,0.93285,0.929236,0.925044,0.928562,0.925248,0.928283,0.925072,0.930683,0.926453,0.92786,0.925794,0.925372,0.925639,0.92681,0.937066,0.925912,0.925474,0.926561,0.92694,0.93388,0.932331,0.925011,0.939561,0.937085,0.924983,0.925242,0.92905,0.925098
MedrxivClusteringP2P.v2,0.352319,0.355928,0.353526,0.353505,0.350771,0.351767,0.348712,0.348952,0.35406,0.346081,0.355735,0.352686,0.351687,0.352971,0.353568,0.360909,0.352239,0.354507,0.351522,0.353343,0.360478,0.357378,0.356807,0.369363,0.35889,0.351318,0.353036,0.353555,0.352126
MindSmallReranking,0.299943,0.300929,0.300446,0.299941,0.300282,0.299951,0.300358,0.300129,0.300447,0.299969,0.300361,0.300213,0.299912,0.300041,0.300058,0.303163,0.30007,0.300173,0.29999,0.300187,0.301893,0.300946,0.300085,0.304681,0.302965,0.299924,0.299822,0.300297,0.300094
SICK-R,0.776264,0.779785,0.778467,0.775607,0.777189,0.77583,0.777802,0.775876,0.77876,0.776353,0.77743,0.776474,0.775665,0.776046,0.776792,0.782479,0.775888,0.776203,0.776532,0.777,0.780885,0.779612,0.775671,0.78532,0.782207,0.775625,0.775726,0.778215,0.775708
BIOSSES,0.852369,0.857351,0.853754,0.850007,0.854387,0.850766,0.853857,0.850959,0.854176,0.853164,0.85305,0.852736,0.851706,0.851953,0.852152,0.868152,0.852489,0.852321,0.853791,0.853086,0.861315,0.855977,0.851345,0.870393,0.866026,0.84958,0.850435,0.852736,0.850224
SCIDOCS,0.15595,0.16259,0.15994,0.15506,0.15971,0.15585,0.15894,0.15528,0.16075,0.15602,0.15918,0.15669,0.15504,0.15562,0.15775,0.17232,0.15537,0.15627,0.1569,0.15842,0.1654,0.16337,0.15527,0.18402,0.17118,0.15476,0.15533,0.15959,0.1555
TwitterURLCorpus,0.866529,0.866942,0.86666,0.866447,0.866616,0.866468,0.866586,0.866452,0.866802,0.866593,0.866591,0.86653,0.866455,0.866478,0.866539,0.867534,0.866472,0.866495,0.86657,0.866638,0.86724,0.866978,0.866455,0.867369,0.867521,0.866429,0.866487,0.866644,0.866423
CQADupstackGamingRetrieval,0.57611,0.57762,0.57835,0.57415,0.57867,0.57465,0.57848,0.57438,0.57837,0.57517,0.5776,0.57704,0.57456,0.57593,0.57682,0.58199,0.57525,0.57479,0.57731,0.57818,0.58103,0.57838,0.57389,0.58099,0.58239,0.57373,0.57432,0.57822,0.57381
