,epoch_12,epoch_1,epoch_2,epoch_7,epoch_10,epoch_15,epoch_14,epoch_17,epoch_3,epoch_19,epoch_5,epoch_6,epoch_4,epoch_0,epoch_18,epoch_11,epoch_16,epoch_9,epoch_8,epoch_13
TweetSentimentExtractionClassification,0.588795,0.609734,0.608432,0.596293,0.591596,0.586389,0.587691,0.585823,0.605886,0.585625,0.600679,0.598161,0.602462,0.612847,0.585059,0.589898,0.586446,0.591851,0.594878,0.588172
AmazonCounterfactualClassification,0.780597,0.784328,0.784328,0.782388,0.781642,0.780746,0.780299,0.781045,0.78791,0.780149,0.783731,0.78194,0.785224,0.786269,0.780299,0.78209,0.781045,0.781791,0.780597,0.780746
ArXivHierarchicalClusteringS2S,0.526869,0.540984,0.536595,0.530726,0.532224,0.532967,0.537375,0.535724,0.532254,0.527519,0.536693,0.534679,0.544912,0.540993,0.530271,0.530678,0.526827,0.534832,0.536235,0.52975
ArXivHierarchicalClusteringP2P,0.563234,0.564328,0.574191,0.562023,0.56445,0.564418,0.562201,0.56036,0.57133,0.554053,0.554391,0.565538,0.560435,0.565252,0.561085,0.571037,0.567503,0.560086,0.566919,0.565463
MTOPDomainClassification,0.934724,0.935727,0.936206,0.936092,0.935363,0.934519,0.934747,0.934565,0.936024,0.934382,0.935659,0.935636,0.93591,0.935773,0.934519,0.935021,0.934359,0.935431,0.936252,0.934747
FiQA2018,0.31013,0.34683,0.34072,0.32101,0.31621,0.31088,0.3102,0.31096,0.33096,0.31029,0.32776,0.32738,0.33367,0.34789,0.3111,0.31706,0.31051,0.31294,0.3203,0.31224
SprintDuplicateQuestions,0.920539,0.930005,0.927423,0.919859,0.919765,0.919731,0.919911,0.920283,0.92521,0.919642,0.921966,0.923809,0.924833,0.931771,0.919944,0.923594,0.919261,0.920587,0.921219,0.920513
MedrxivClusteringP2P.v2,0.330788,0.333842,0.340334,0.334041,0.331883,0.32749,0.327654,0.328747,0.337632,0.328379,0.335753,0.334489,0.335797,0.34188,0.328829,0.331372,0.326218,0.329953,0.33235,0.331687
MindSmallReranking,0.301376,0.301196,0.302518,0.302432,0.301669,0.301164,0.30106,0.301002,0.302028,0.301014,0.30206,0.301878,0.303025,0.300105,0.301166,0.301581,0.30111,0.302265,0.302265,0.301145
SICK-R,0.75543,0.771998,0.769214,0.762898,0.757311,0.753274,0.753655,0.752642,0.767997,0.752163,0.765179,0.763466,0.766248,0.773992,0.752216,0.757081,0.753078,0.757718,0.760445,0.754602
BIOSSES,0.835188,0.845128,0.846941,0.841501,0.835712,0.829736,0.832712,0.832609,0.844387,0.830194,0.844284,0.844814,0.847814,0.834447,0.831826,0.840796,0.830097,0.837567,0.840555,0.834152
SCIDOCS,0.1403,0.1513,0.15424,0.14261,0.14227,0.14223,0.14117,0.13907,0.14982,0.14019,0.14689,0.14371,0.15005,0.15336,0.1398,0.14376,0.13977,0.13764,0.14395,0.14143
TwitterURLCorpus,0.861695,0.867169,0.866547,0.863487,0.862379,0.860998,0.861176,0.860624,0.865567,0.860474,0.864474,0.863869,0.865347,0.867519,0.860486,0.862038,0.860837,0.862692,0.863426,0.861449
CQADupstackGamingRetrieval,0.5599,0.5749,0.57656,0.566,0.56509,0.56254,0.56318,0.56229,0.56944,0.56149,0.57221,0.56763,0.57323,0.57783,0.56123,0.56744,0.56264,0.56089,0.56651,0.56355
