,step_361,epoch_1,epoch_2,step_285,step_266,step_76,epoch_7,step_304,step_342,step_38,step_133,step_323,epoch_3,epoch_5,step_228,step_19,step_171,epoch_6,epoch_4,epoch_0,step_209,step_57,step_95,epoch_9,step_247,step_152,step_114,step_190,epoch_8
PubChemWikiParagraphsPC,0.214817,0.234438,0.228086,0.216344,0.21599,0.233881,0.21589,0.215906,0.215062,0.247082,0.225404,0.215169,0.222226,0.216901,0.216414,0.235848,0.221163,0.215913,0.219783,0.247213,0.219889,0.240971,0.232249,0.214819,0.21613,0.221358,0.227253,0.219611,0.215124
WikipediaBiolumNeurochemClassification,0.95102,0.958163,0.956122,0.95102,0.95102,0.958163,0.95102,0.95102,0.95102,0.959184,0.956122,0.95102,0.955102,0.954082,0.954082,0.958163,0.954082,0.95102,0.954082,0.959184,0.954082,0.958163,0.957143,0.95102,0.953061,0.955102,0.956122,0.954082,0.95102
ChemNQRetrieval,0.58553,0.61741,0.61703,0.58607,0.58487,0.61741,0.57087,0.58553,0.58574,0.65272,0.60595,0.5992,0.59149,0.59389,0.5936,0.64335,0.59064,0.59915,0.60102,0.65272,0.60102,0.63793,0.62663,0.59887,0.59915,0.5872,0.60649,0.61173,0.57141
WikipediaSolidStateColloidalClassification,0.808784,0.815766,0.812387,0.809459,0.81036,0.815541,0.809459,0.809459,0.809009,0.818243,0.811937,0.809234,0.811261,0.81036,0.80991,0.817342,0.81036,0.810586,0.80991,0.818468,0.809459,0.816892,0.813514,0.808784,0.81036,0.81036,0.811937,0.80991,0.80991
PubChemAISentenceParaphrasePC,0.94167,0.93438,0.935327,0.941167,0.940858,0.934253,0.941061,0.94114,0.941331,0.930009,0.938262,0.941187,0.937777,0.940452,0.940446,0.926665,0.938632,0.941046,0.939095,0.92959,0.940673,0.934167,0.93489,0.941443,0.941318,0.937831,0.935963,0.939421,0.9414
WikipediaTheoreticalAppliedClassification,0.641834,0.653308,0.649392,0.642237,0.642536,0.652982,0.642228,0.642245,0.641877,0.656898,0.647695,0.641791,0.646632,0.64335,0.643085,0.659152,0.644781,0.642965,0.644456,0.657052,0.643608,0.654859,0.650249,0.641765,0.643016,0.646187,0.649135,0.64425,0.641722
WikipediaChemFieldsClassification,0.506393,0.520876,0.517867,0.507435,0.50788,0.520606,0.507119,0.506838,0.505655,0.525664,0.514354,0.506732,0.513605,0.509776,0.509343,0.527655,0.511978,0.508102,0.510643,0.525126,0.510256,0.522632,0.517469,0.506393,0.508699,0.513933,0.517141,0.510994,0.505948
WikipediaChemEngSpecialtiesClassification,0.769355,0.779032,0.774194,0.770968,0.771774,0.779032,0.768548,0.770968,0.769355,0.783871,0.772581,0.768548,0.772581,0.770968,0.770968,0.783065,0.771774,0.770161,0.771774,0.783871,0.772581,0.782258,0.776613,0.769355,0.770161,0.773387,0.774194,0.771774,0.769355
WikipediaGreenhouseEnantiopureClassification,0.96886,0.973684,0.974123,0.969737,0.969737,0.973684,0.969737,0.969298,0.96886,0.975877,0.97193,0.96886,0.97193,0.970614,0.970614,0.976316,0.971491,0.970175,0.971053,0.975877,0.971053,0.974123,0.974123,0.96886,0.970175,0.972368,0.973684,0.970614,0.96886
PubChemWikiPairClassification,0.855948,0.84827,0.849719,0.854512,0.854703,0.848429,0.855569,0.85557,0.855697,0.843017,0.855094,0.855526,0.853673,0.855661,0.855313,0.795259,0.858201,0.855307,0.855066,0.840804,0.858351,0.853639,0.854781,0.855835,0.856639,0.853832,0.850382,0.855075,0.855502
WikipediaCompChemSpectroscopyClassification,0.768778,0.772851,0.771493,0.769231,0.769683,0.771493,0.769683,0.770588,0.769231,0.770588,0.770588,0.768778,0.770588,0.770136,0.771041,0.771493,0.771041,0.769683,0.771041,0.770588,0.770588,0.772851,0.772398,0.770136,0.770588,0.770136,0.771946,0.771041,0.770588
WikipediaChemistryTopicsClustering,0.735587,0.717577,0.735861,0.681365,0.756691,0.700737,0.713175,0.713603,0.73024,0.750314,0.740133,0.734141,0.714374,0.714227,0.683521,0.631329,0.635033,0.631841,0.62522,0.683495,0.624116,0.743315,0.708744,0.712491,0.638135,0.695526,0.735509,0.636149,0.71515
WikipediaLuminescenceClassification,0.912195,0.914634,0.915854,0.914634,0.913415,0.914634,0.913415,0.913415,0.912195,0.917073,0.914634,0.913415,0.913415,0.914634,0.913415,0.914634,0.913415,0.915854,0.914634,0.915854,0.914634,0.912195,0.917073,0.913415,0.913415,0.913415,0.917073,0.914634,0.914634
